society,property_type,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
independent,house,sector 2,0.4,7619.0,525.0,Carpet area: 525 (48.77 sq.m.),2,2,1,1.0,,Relatively New,,,525.0,0,0,0,0,0,0,0
godrej summit,flat,sector 104,1.05,5833.0,1800.0,Carpet area: 1800 (167.23 sq.m.),3,4,3+,7.0,East,Relatively New,,,1800.0,0,1,0,0,0,1,96
capital residences 360,flat,sector 70a,1.15,11500.0,1000.0,Super Built up area 1450(134.71 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,4.0,East,New Property,1450.0,1400.0,1000.0,0,0,0,0,0,0,132
international city by sobha phase 2,house,sector 76,8.48,23556.0,3600.0,Plot area 400(334.45 sq.m.),4,6,3+,3.0,North-East,New Property,,3600.0,,1,1,1,0,0,0,153
ansal heights,house,sector 92,2.75,9793.0,2808.0,Plot area 312(260.87 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.),4,4,3+,3.0,,Relatively New,,5000.0,,1,0,0,0,0,0,0
smart world orchard,flat,sector 61,1.41,12250.0,1151.0,Built Up area: 1150 (106.84 sq.m.),2,2,2,2.0,,Under Construction,,1150.0,,1,0,0,0,0,0,76
hcbs sports ville,flat,sohna road road,0.28,3768.0,743.0,Built Up area: 743 (69.03 sq.m.)Carpet area: 643 sq.ft. (59.74 sq.m.),2,2,1,11.0,East,Relatively New,,743.0,643.0,0,0,0,0,0,0,38
trisara our homes 3,flat,sohna road road,0.4,4478.0,893.0,Built Up area: 900 (83.61 sq.m.)Carpet area: 602 sq.ft. (55.93 sq.m.),2,2,2,1.0,,Undefined,,900.0,602.0,0,0,0,0,0,0,0
adani m2k oyster grande,flat,sector 102,2.35,8468.0,2775.0,Super Built up area 2598(241.36 sq.m.),3,3,3,14.0,East,Relatively New,2598.0,,,1,1,0,0,0,1,165
suncity platinum towers,flat,sector 28,6.0,22346.0,2685.0,Carpet area: 2685 (249.44 sq.m.),3,3,2,8.0,South-East,Moderately Old,,,2685.0,0,1,0,0,0,0,31
ats triumph,flat,sector 104,2.6,8253.0,3150.0,Super Built up area 3150(292.64 sq.m.),4,4,3+,12.0,South,Relatively New,3150.0,,,0,1,0,0,0,0,118
imperia the esfera,flat,sector 37c,0.86,5449.0,1578.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2,3,3,9.0,South-East,Relatively New,1578.0,,1310.0,1,0,0,0,1,0,49
central park flower valley,flat,sohna road road,1.2,6742.0,1780.0,Built Up area: 1780 (165.37 sq.m.),3,3,0,11.0,,Undefined,,1780.0,,0,0,0,0,0,0,66
independent,house,sector 26,18.25,18250.0,10000.0,Plot area 550(51.1 sq.m.)Carpet area: 10000 sq.ft. (929.03 sq.m.),7,9,3+,4.0,East,Relatively New,,,10000.0,1,1,1,0,0,1,77
independent,house,sector 46,4.25,23148.0,1836.0,Plot area 204(170.57 sq.m.),5,4,2,3.0,North-East,Moderately Old,,1836.0,,0,0,1,0,0,1,57
ss the leaf,flat,sector 85,1.24,7122.0,1741.0,Super Built up area 1741(161.74 sq.m.)Built Up area: 1730 sq.ft. (160.72 sq.m.)Carpet area: 1720 sq.ft. (159.79 sq.m.),2,2,3,10.0,West,Relatively New,1741.0,1730.0,1720.0,0,0,0,0,0,0,49
godrej meridien,flat,sector 106,3.2,16000.0,2000.0,Carpet area: 2002 (185.99 sq.m.),3,3,3+,6.0,,Under Construction,,,2002.0,0,1,0,0,0,0,49
independent,house,sector 11,1.2,4444.0,2700.0,Built Up area: 300 (250.84 sq.m.),7,3,0,3.0,,Undefined,,300.0,,0,0,0,0,0,0,0
ss the leaf,flat,sector 85,1.09,6666.0,1635.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1638 sq.ft. (152.18 sq.m.)Carpet area: 1635 sq.ft. (151.9 sq.m.),2,2,3,9.0,South-West,Relatively New,1640.0,1638.0,1635.0,0,0,1,0,0,0,174
independent,house,sector 7,3.0,11494.0,2610.0,Built Up area: 2610 (242.48 sq.m.),7,7,0,3.0,,Undefined,,2610.0,,0,0,0,0,0,0,0
jammu and kashmir bank employees cghs,flat,sector 9a,0.95,6129.0,1550.0,Super Built up area 1550(144 sq.m.),3,3,2,5.0,West,Moderately Old,1550.0,,,0,0,0,0,1,0,30
madan puri,house,sector 7,0.75,12500.0,600.0,Plot area 600(55.74 sq.m.),3,5,3,3.0,South-East,Moderately Old,,600.0,,0,0,0,0,0,0,0
maxworth city residences,flat,sector 10a,0.9,7083.0,1271.0,Super Built up area 1200(111.48 sq.m.),2,2,3,9.0,East,New Property,1200.0,,,0,0,0,0,1,0,52
m3m heights,flat,sector 65,2.8,15000.0,1867.0,Super Built up area 1828(169.83 sq.m.),3,3,3,20.0,North-East,Under Construction,1828.0,,,0,0,0,0,0,0,91
emaar palm gardens,flat,sector 83,1.38,8023.0,1720.0,Super Built up area 1720(159.79 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),3,3,3,5.0,South-West,Relatively New,1720.0,1350.0,1150.0,0,1,0,0,0,1,8
mapsko mount ville,flat,sector 79,1.25,8389.0,1490.0,Carpet area: 1490 (138.43 sq.m.),3,3,3+,16.0,North,Relatively New,,,1490.0,0,0,0,0,0,1,49
tulip violet,flat,sector 69,1.51,9569.0,1578.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,3,2,0.0,West,Relatively New,1578.0,,1100.0,0,0,0,0,0,2,165
piedmont taksila heights,flat,sector 37c,1.05,4792.0,2191.0,Super Built up area 1920(178.37 sq.m.),3,3,3,7.0,,Relatively New,1920.0,,,0,0,0,0,0,1,81
independent,house,sector 24,10.0,25543.0,3915.0,Carpet area: 435 (40.41 sq.m.),8,10,3+,1.0,West,Undefined,,,435.0,0,0,0,0,0,0,0
adani aangan galleria,flat,sector 89,0.25,5000.0,500.0,Super Built up area 500(46.45 sq.m.)Built Up area: 430 sq.ft. (39.95 sq.m.)Carpet area: 410 sq.ft. (38.09 sq.m.),1,1,1,6.0,,New Property,500.0,430.0,410.0,0,0,0,0,0,0,74
bestech park view sanskruti,flat,sector 92,1.6,7547.0,2120.0,Super Built up area 2120(196.95 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3,10.0,East,Relatively New,2120.0,,1450.0,0,1,0,0,0,1,60
emaar mgf emerald floors premier,flat,sector 65,2.85,14430.0,1975.0,Super Built up area 1975(183.48 sq.m.),4,4,3+,0.0,West,Relatively New,1975.0,,,1,1,0,0,0,1,151
bptp terra,flat,sector 37d,1.67,7622.0,2191.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2091 sq.ft. (194.26 sq.m.)Carpet area: 1991 sq.ft. (184.97 sq.m.),4,4,3,11.0,West,Relatively New,2191.0,2091.0,1991.0,0,0,0,0,0,1,149
paras dews,flat,sector 106,1.13,6406.0,1764.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,18.0,North-West,Relatively New,1760.0,1186.0,1130.0,1,1,0,0,0,0,49
independent,house,sector 46,5.65,23870.0,2367.0,Plot area 263(219.9 sq.m.),8,6,3+,3.0,South-West,Moderately Old,,2367.0,,0,1,0,0,0,1,67
mvn athens,flat,sohna road road,0.25,5189.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,0.0,North,Relatively New,,,481.684525,0,0,0,0,0,0,90
green campus chs,flat,manesar,0.92,4022.0,2287.0,Super Built up area 2287(212.47 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3+,8.0,East,Moderately Old,2287.0,,1600.0,0,1,0,0,0,0,5
vatika india next,house,sector 83,1.7,7870.0,2160.0,Plot area 240(200.67 sq.m.),3,3,3+,4.0,North-West,New Property,,2160.0,,0,1,0,0,0,0,0
puri diplomatic greens,flat,sector 111,2.65,11963.0,2215.0,Super Built up area 2215(205.78 sq.m.),3,4,3+,19.0,South-East,Relatively New,2215.0,,,1,1,1,0,0,0,65
nirvana cedar crest,house,sector 50,3.99,8866.0,4500.0,Plot area 4500(418.06 sq.m.),4,5,3+,4.0,North-East,New Property,,4500.0,,0,1,0,0,0,1,112
central park 2 bellevue,flat,sector 48,2.75,10754.0,2557.0,Super Built up area 2557(237.55 sq.m.)Carpet area: 2550 sq.ft. (236.9 sq.m.),3,4,3+,3.0,,Moderately Old,2557.0,,2550.0,0,0,0,0,0,0,32
smriti apartment,flat,sector 56,0.45,7500.0,600.0,Super Built up area 600(55.74 sq.m.),1,1,2,3.0,,Old Property,600.0,,,0,0,0,0,0,0,57
independent,house,sector 39,7.0,10000.0,7000.0,Plot area 350(32.52 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),10,11,3+,4.0,South-East,Relatively New,,7000.0,,0,0,0,0,0,1,38
shapoorji pallonji joyville gurugram,flat,sector 102,1.75,15514.0,1128.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1128 sq.ft. (104.79 sq.m.),3,3,3+,1.0,East,Relatively New,1852.0,,1128.0,0,0,0,0,0,0,49
dlf new town heights,flat,sector 90,1.95,7150.0,2727.0,Super Built up area 2727(253.35 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),4,4,3+,24.0,North-East,Relatively New,2727.0,,2200.0,0,1,1,0,0,0,174
the castle society,flat,sector 56,2.0,8695.0,2300.0,Super Built up area 2300(213.68 sq.m.),4,4,2,4.0,,Under Construction,2300.0,,,0,0,0,0,0,0,0
ambience creacions,flat,sector 22,4.63,14983.0,3090.0,Super Built up area 3090(287.07 sq.m.),3,5,3+,5.0,North-East,New Property,3090.0,,,0,1,0,0,1,0,120
dlf new town heights,flat,sector 90,1.75,5720.0,3059.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,17.0,South,Relatively New,2727.0,,,0,1,0,0,0,0,88
dlf regal gardens,flat,sector 90,1.26,7403.0,1702.0,Super Built up area 1702(158.12 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3,6.0,North-East,Relatively New,1702.0,,1500.0,0,0,0,0,1,1,28
emaar mgf emerald floors premier,flat,sector 65,2.8,16969.0,1650.0,Super Built up area 1975(183.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),4,4,3,2.0,North,Relatively New,1975.0,1800.0,1650.0,1,0,0,0,0,1,89
shree vardhman flora,flat,sector 90,0.95,6333.0,1500.0,Carpet area: 1500 (139.35 sq.m.),3,3,3,9.0,South-East,Relatively New,,,1500.0,0,1,0,0,0,0,90
breeze global heights,flat,sector 33,0.4,6421.0,623.0,Built Up area: 623 (57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2,2,2,4.0,,Undefined,,623.0,599.0,0,0,0,0,0,0,0
signature global city 92,flat,sector 92,0.99,6622.0,1495.0,Carpet area: 1495 (138.89 sq.m.),3,2,3,1.0,East,New Property,,,1495.0,0,0,0,0,1,0,37
independent,house,sector 23,5.65,17706.0,3191.0,Plot area 342(285.96 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),7,7,3+,2.0,West,Moderately Old,,5000.0,4000.0,0,1,0,0,0,0,68
sbr minda sec-1 imt manesar,flat,manesar,0.64,4193.0,1526.0,Carpet area: 1526 (141.77 sq.m.),3,2,3+,6.0,East,Old Property,,,1526.0,0,0,0,0,0,0,51
ansals florence villa,house,sector 57,3.65,10579.0,3450.0,Plot area 3450(320.52 sq.m.),6,6,2,3.0,North-West,Moderately Old,,3450.0,,1,1,1,0,0,2,152
signature global synera,flat,sector 81,0.31,7434.0,417.0,Super Built up area 417(38.74 sq.m.)Carpet area: 320 sq.ft. (29.73 sq.m.),1,1,1,13.0,North,Relatively New,417.0,,320.0,0,0,0,0,0,2,123
tulip ivory,flat,sector 70,2.0,8333.0,2400.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4,5,3+,7.0,North-East,Moderately Old,2400.0,,1950.0,0,1,0,0,0,1,174
chd avenue,flat,sector 71,0.95,7917.0,1200.0,Built Up area: 1200 (111.48 sq.m.),2,2,0,5.0,South,Undefined,,1200.0,,0,0,0,0,0,0,0
umang monsoon breeze,flat,sector 78,0.69,5390.0,1280.0,Carpet area: 1280 (118.92 sq.m.),2,2,2,11.0,,Moderately Old,,,1280.0,0,0,0,0,0,0,60
shree vardhman victoria,flat,sector 70,1.62,8307.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,9.0,North,Relatively New,1950.0,,1161.0,0,1,0,0,0,0,43
ansals palam vihar,house,sector 2,2.75,17662.0,1557.0,Plot area 173(144.65 sq.m.),3,3,3,2.0,,Moderately Old,,1557.0,,1,0,0,0,0,1,15
imperia the esfera,flat,sector 37c,0.86,4886.0,1760.0,Super Built up area 1760(163.51 sq.m.),3,3,2,0.0,,New Property,1760.0,,,0,0,0,0,1,0,35
huda housing board society,flat,sector 52,0.45,9745.0,462.0,Carpet area: 461.77 (42.9 sq.m.),1,1,0,0.0,North-West,Moderately Old,,,461.77131,0,0,0,0,0,1,43
shri banke bihari society,flat,sector 56,1.37,9133.0,1500.0,Super Built up area 1500(139.35 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,2.0,North-East,Old Property,1500.0,1450.0,1400.0,0,0,0,0,1,0,174
m3m skycity,flat,sector 65,2.1,16030.0,1310.0,Super Built up area 1310(121.7 sq.m.),2,2,2,43.0,,New Property,1310.0,,,0,0,0,0,0,0,127
eros wembley estate,flat,sector 50,1.4,10174.0,1376.0,Super Built up area 1376(127.83 sq.m.),3,3,2,9.0,East,Relatively New,1376.0,,,0,0,1,0,0,1,117
mvn athens,flat,sohna road road,0.25,5198.0,481.0,Built Up area: 481 (44.69 sq.m.),2,2,0,0.0,,Relatively New,,481.0,,0,0,0,0,0,0,37
independent,house,sector 26,18.9,41833.0,4518.0,Plot area 502(419.74 sq.m.),6,8,2,3.0,North-East,Relatively New,,4518.0,,1,1,1,0,0,1,120
independent,house,sector 31,4.25,26235.0,1620.0,Plot area 204(170.57 sq.m.)Built Up area: 200 sq.yards (167.23 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),5,5,3+,3.0,North-East,Moderately Old,,200.0,180.0,0,0,1,0,0,1,56
independent,house,sector 39,1.8,21875.0,823.0,Plot area 900(83.61 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 720 sq.ft. (66.89 sq.m.),1,1,2,3.0,North-East,Relatively New,,800.0,720.0,0,0,0,0,0,0,0
m3m soulitude,flat,sector 89,1.3,8700.0,1494.0,Super Built up area 1500(139.35 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3,3,2,1.0,,New Property,1500.0,,900.0,0,0,0,0,1,0,45
aipl zen residences,flat,sector 70a,1.25,9904.0,1262.0,Carpet area: 1262 (117.24 sq.m.),2,2,3,19.0,,Undefined,,,1262.0,0,0,0,0,0,0,0
central park flower valley aqua front towers,flat,sector 33 road,2.1,11738.0,1789.0,Super Built up area 1789(166.2 sq.m.),3,3,2,6.0,,Under Construction,1789.0,,,0,0,0,0,0,0,24
bestech park view residency,flat,sector 2,1.5,7825.0,1917.0,Super Built up area 1920(178.37 sq.m.),3,4,3+,10.0,North-East,Moderately Old,1920.0,,,0,1,0,0,0,0,93
pareena mi casa,flat,sector 68,1.15,9236.0,1245.0,Super Built up area 1245(115.66 sq.m.),2,2,3,8.0,East,New Property,1245.0,,,0,0,0,0,0,0,49
ats kocoon,flat,sector 109,2.22,10596.0,2095.0,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3,4,3,14.0,East,Relatively New,2095.0,1860.0,,1,1,1,0,0,0,45
vatika independent floors,flat,sector 82,0.67,5826.0,1150.0,Built Up area: 1150 (106.84 sq.m.),2,2,3,2.0,,Moderately Old,,1150.0,,0,0,0,0,0,0,53
rof aalayas,flat,sector 102,0.45,6000.0,750.0,Built Up area: 750 (69.68 sq.m.),1,1,2,6.0,,Undefined,,750.0,,0,0,0,0,0,0,0
shivpuri,house,sector 7,2.8,12444.0,2250.0,Plot area 2250(209.03 sq.m.),10,7,3,1.0,,Old Property,,2250.0,,1,1,0,0,1,1,0
microtek greenburg,flat,sector 86,1.65,8707.0,1895.0,Super Built up area 1895(176.05 sq.m.),3,4,3,8.0,North-West,Relatively New,1895.0,,,0,1,0,0,0,0,124
ats triumph,flat,sector 104,2.78,8825.0,3150.0,Super Built up area 3150(292.64 sq.m.),4,4,3+,11.0,South,Relatively New,3150.0,,,0,1,0,0,0,0,110
dlf the ultima,flat,sector 81,2.35,11233.0,2092.0,Super Built up area 2092(194.35 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,4,3+,18.0,North,Relatively New,2092.0,,1100.0,0,1,0,0,0,0,106
lord krishna,flat,sector 12,2.7,8571.0,3150.0,Built Up area: 3150 (292.64 sq.m.),4,3,3,6.0,North-East,Undefined,,3150.0,,0,0,0,0,0,0,0
experion windchants,flat,sector 112,3.65,12312.0,2965.0,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3,4,3+,14.0,South,Relatively New,2802.0,2225.56,,0,1,0,0,0,1,150
aipl the peaceful homes,flat,sector 70a,1.6,9584.0,1669.0,Super Built up area 1565(145.39 sq.m.),2,2,2,22.0,North,Moderately Old,1565.0,,,0,0,0,0,0,0,86
smart world orchard,flat,sector 61,1.9,22700.0,837.0,Super Built up area 1398(129.88 sq.m.)Built Up area: 1137 sq.ft. (105.63 sq.m.)Carpet area: 837 sq.ft. (77.76 sq.m.),3,3,3,1.0,,New Property,1398.0,1137.0,837.0,0,0,0,0,0,0,30
independent,house,sector 4,1.9,8444.0,2250.0,Plot area 250(209.03 sq.m.)Carpet area: 190 sq.yards (158.86 sq.m.),4,3,2,2.0,North-East,Moderately Old,,,190.0,0,0,1,0,0,1,46
independent,house,sector 47,0.99,17187.0,576.0,Plot area 64(53.51 sq.m.),4,4,3,4.0,,Relatively New,,576.0,,0,0,0,0,0,0,13
independent,house,sector 43,3.35,26973.0,1242.0,Plot area 138(115.39 sq.m.),1,1,0,1.0,East,Old Property,,1242.0,,0,0,0,0,0,0,9
signature global park,flat,sohna road road,0.54,6388.0,845.0,Super Built up area 845.3(78.53 sq.m.)Carpet area: 528.3 sq.ft. (49.08 sq.m.),2,2,3,4.0,East,New Property,845.3,,528.3,0,0,0,0,0,0,44
ireo skyon,flat,sector 60,2.05,15185.0,1350.0,Super Built up area 1524(141.58 sq.m.)Built Up area: 1520 sq.ft. (141.21 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),2,3,2,2.0,North-East,Relatively New,1524.0,1520.0,1350.0,0,0,1,0,0,1,174
m3m ikonic,flat,sector 68,1.8,9230.0,1950.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1845 sq.ft. (171.41 sq.m.)Carpet area: 1530 sq.ft. (142.14 sq.m.),3,3,3+,18.0,North-East,Relatively New,1950.0,1845.0,1530.0,0,0,0,0,0,1,126
raheja revanta,flat,sector 78,0.99,6100.0,1623.0,Super Built up area 1621(150.6 sq.m.),2,2,3,14.0,East,Under Construction,1621.0,,,0,0,0,0,1,0,39
independent,house,sector 26,9.0,33333.0,2700.0,Plot area 300(250.84 sq.m.),5,5,2,3.0,South-West,Old Property,,2700.0,,1,1,1,0,0,2,110
central park flower valley,flat,sector 33 road,2.3,12777.0,1800.0,Carpet area: 1800 (167.23 sq.m.),4,4,3+,5.0,North-East,New Property,,,1800.0,0,1,0,0,0,0,42
sbtl caladium,flat,sector 109,1.8,7072.0,2545.0,Super Built up area 2545(236.44 sq.m.)Carpet area: 1527 sq.ft. (141.86 sq.m.),3,3,3+,10.0,East,Relatively New,2545.0,,1527.0,0,0,0,0,0,0,174
trisara our homes 3,flat,sohna road road,0.34,5405.0,629.0,Carpet area: 629 (58.44 sq.m.),2,2,1,0.0,,New Property,,,629.0,0,0,0,0,0,0,0
paras dews,flat,sector 106,1.4,6000.0,2333.0,Super Built up area 1760(163.51 sq.m.),3,4,3+,12.0,,Under Construction,1760.0,,,1,1,0,0,1,0,55
puri diplomatic greens,flat,sector 111,2.25,13235.0,1700.0,Super Built up area 1700(157.94 sq.m.),3,3,2,12.0,North-East,Relatively New,1700.0,,,0,0,0,0,0,0,101
ss the leaf,flat,sector 85,1.1,9565.0,1150.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2,2,3,10.0,West,Relatively New,1640.0,1600.0,1150.0,0,0,0,0,0,0,150
vatika lifestyle homes,flat,sector 83,1.25,6839.0,1828.0,Super Built up area 1827.5(169.78 sq.m.),3,2,1,6.0,South-West,Relatively New,1827.5,,,1,1,1,0,0,2,174
landmark house,house,sector 43,2.75,25463.0,1080.0,Plot area 120(100.34 sq.m.),3,3,1,2.0,South-East,Moderately Old,,1080.0,,0,0,0,0,0,0,21
m3m skywalk,flat,sector 74,1.54,10814.0,1424.0,Super Built up area 1424(132.29 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1139 sq.ft. (105.82 sq.m.),2,2,3+,15.0,South-East,Relatively New,1424.0,1200.0,1139.0,0,0,0,0,1,0,137
independent,house,sector 28,0.45,10000.0,450.0,Built Up area: 50 (4.65 sq.m.),5,3,0,1.0,,Undefined,,50.0,,0,0,0,0,0,0,0
smart world orchard,flat,sector 61,2.1,13750.0,1527.0,Super Built up area 1549(143.91 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,2,3,3.0,South,Under Construction,1549.0,,1500.0,0,0,0,0,0,0,146
the close north,flat,sector 50,2.35,11767.0,1997.0,Super Built up area 1997(185.53 sq.m.)Built Up area: 1950 sq.ft. (181.16 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,3,3+,8.0,North-East,Moderately Old,1997.0,1950.0,1850.0,0,0,0,0,0,1,165
the arzoo cghs,flat,sector 51,2.1,9130.0,2300.0,Built Up area: 2300 (213.68 sq.m.),4,4,3,1.0,,Relatively New,,2300.0,,0,0,0,0,0,0,58
lotus homz,flat,sector 111,0.6,8450.0,710.0,Carpet area: 710 (65.96 sq.m.),2,2,3,9.0,East,New Property,,,710.0,0,0,0,0,0,0,52
independent,house,sector 28,11.25,34722.0,3240.0,Plot area 360(301.01 sq.m.),9,9,3+,2.0,North,Moderately Old,,3240.0,,0,1,1,0,0,1,126
rwa,flat,sector 7,0.48,6000.0,800.0,Carpet area: 800 (74.32 sq.m.),3,2,1,1.0,North-East,New Property,,,800.0,0,0,0,0,0,0,21
suposhaa smartworld orchard,flat,sector 61,2.25,14525.0,1549.0,Carpet area: 1549 (143.91 sq.m.),3,3,2,3.0,,Under Construction,,,1549.0,0,0,0,0,0,0,0
godrej,flat,sector 79,2.0,8474.0,2360.0,Super Built up area 2366(219.81 sq.m.)Built Up area: 1963 sq.ft. (182.37 sq.m.)Carpet area: 1629 sq.ft. (151.34 sq.m.),3,4,3+,9.0,East,Relatively New,2366.0,1963.0,1629.0,0,1,0,0,0,0,108
hero homes,flat,sector 104,1.35,9565.0,1411.0,Super Built up area 1359(126.26 sq.m.)Carpet area: 861.97 sq.ft. (80.08 sq.m.),3,2,2,18.0,East,New Property,1359.0,,861.97,0,0,0,0,0,0,49
adani m2k oyster grande,flat,sector 102,2.6,10007.0,2598.0,Super Built up area 2598(241.36 sq.m.),3,3,3,2.0,North-East,Relatively New,2598.0,,,1,1,1,0,0,0,118
orchid petals,flat,sector 49,2.23,10969.0,2033.0,Super Built up area 2033(188.87 sq.m.),3,3,3,14.0,North,Relatively New,2033.0,,,0,0,0,0,1,0,40
vipul tatvam villa,house,sector 48,7.8,23148.0,3370.0,Plot area 360(301.01 sq.m.),4,4,3+,2.0,North-East,Relatively New,,3240.0,,1,1,1,0,0,1,145
unitech deerwood chase,house,sector 50,15.0,33333.0,4500.0,Plot area 500(418.06 sq.m.),4,4,2,2.0,West,Moderately Old,,4500.0,,0,1,0,0,0,0,160
tulip violet,flat,sector 69,1.66,8408.0,1974.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12.0,South-East,Relatively New,1970.0,,,0,0,0,0,0,0,102
greenopolis,flat,sector 89,0.8,4820.0,1660.0,Super Built up area 1660(154.22 sq.m.),2,3,3,8.0,,Under Construction,1660.0,,,1,0,0,0,1,0,60
parsvnath green ville,flat,sector 48,2.5,12820.0,1950.0,Carpet area: 1950 (181.16 sq.m.),4,5,3,1.0,South-East,Moderately Old,,,1950.0,0,0,0,0,1,1,49
international city by sobha phase 1,house,sector 109,6.0,9634.0,6228.0,Plot area 692(578.6 sq.m.),4,5,3,2.0,North-East,Moderately Old,,6228.0,,0,0,0,0,0,0,76
dlf the primus,flat,sector 82a,2.2,10516.0,2092.0,Super Built up area 2092(194.35 sq.m.),3,3,3+,16.0,North-East,Relatively New,2092.0,,,0,1,0,0,0,2,174
sidhartha ncr greens,flat,sector 95,0.96,6201.0,1548.0,Carpet area: 1548 (143.81 sq.m.),3,3,3,8.0,,New Property,,,1548.0,0,0,1,0,0,0,8
spaze privy at,flat,sector 84,1.24,6465.0,1918.0,Super Built up area 1918(178.19 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,8.0,North-East,Relatively New,1918.0,1650.0,1550.0,1,0,0,0,0,1,158
signature global park,flat,sohna road road,0.75,6938.0,1081.0,Carpet area: 1081 (100.43 sq.m.),3,2,3+,4.0,East,New Property,,,1081.0,0,0,0,0,0,0,101
unitech south park,flat,sector 70,1.13,7000.0,1614.0,Super Built up area 1610(149.57 sq.m.),3,3,2,1.0,,Under Construction,1610.0,,,0,0,0,0,0,0,46
experion the heartsong,flat,sector 108,1.65,8237.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1771.32 sq.ft. (164.56 sq.m.)Carpet area: 1302.01 sq.ft. (120.96 sq.m.),3,4,3,3.0,North-West,Moderately Old,2003.0,1771.32,1302.01,1,0,0,0,0,1,75
sukhshanti apartment,flat,sector 56,1.65,7006.0,2355.0,Super Built up area 2355(218.79 sq.m.),3,3,3+,5.0,North,Moderately Old,2355.0,,,1,0,0,0,0,1,134
tata gurgaon gateway,flat,sector 113,3.21,11825.0,2715.0,Super Built up area 2520(234.12 sq.m.),3,3,3,9.0,,New Property,2520.0,,,0,0,0,0,0,0,49
tulip violet,flat,sector 69,1.31,8517.0,1538.0,Super Built up area 1538(142.88 sq.m.),3,3,2,12.0,East,Relatively New,1538.0,,,0,0,0,0,0,1,174
dlf regal gardens,flat,sector 90,1.25,5931.0,2108.0,Super Built up area 1720(159.79 sq.m.),3,3,3,18.0,North-East,Relatively New,1720.0,,,0,0,0,0,1,0,72
sbr minda sec 1 imt manesar,flat,manesar,0.65,4259.0,1526.0,Carpet area: 1526 (141.77 sq.m.),3,2,3+,6.0,South,Moderately Old,,,1526.0,0,0,0,0,0,0,5
