society,property_type,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
nbcc heights,flat,sector 89,0.75,6578.0,1140.0,Super Built up area 1140(105.91 sq.m.),2,2,2,6.0,,Moderately Old,1140.0,,,0,0,0,0,0,0,0
godrej air,flat,sector 85,1.83,10005.0,1829.0,Carpet area: 1829 (169.92 sq.m.),3,3,3+,18.0,,Under Construction,,,1829.0,0,0,0,0,0,0,110
independent,house,sector 55,3.55,24500.0,1449.0,Plot area 161(134.62 sq.m.),4,4,3+,2.0,,Old Property,,1449.0,,0,0,0,0,0,1,27
ansal maple heights,flat,sector 43,1.5,12658.0,1185.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1385 sq.ft. (128.67 sq.m.)Carpet area: 1185 sq.ft. (110.09 sq.m.),3,3,3+,7.0,North-East,Old Property,1400.0,1385.0,1185.0,0,0,1,0,0,1,174
m3m merlin,flat,sector 67,3.4,14418.0,2358.0,Super Built up area 2358(219.07 sq.m.)Carpet area: 1708 sq.ft. (158.68 sq.m.),3,4,3,16.0,North-West,Relatively New,2358.0,,1708.0,0,1,0,0,0,1,174
godrej oasis,flat,sector 88a,2.65,16747.0,1582.0,Carpet area: 124,3,3,3+,10.0,,New Property,,,124.0,0,0,0,0,0,0,110
g l s arawali homes,flat,sohna road road,0.26,4513.0,576.0,Super Built up area 576(53.51 sq.m.),2,2,2,1.0,,Moderately Old,576.0,,,0,0,0,0,0,0,0
shapoorji pallonji joyville,flat,sector 102,1.1,12022.0,915.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,1,7.0,,Undefined,,915.0,700.0,0,0,0,0,0,0,0
tulip violet,flat,sector 69,1.95,9701.0,2010.0,Super Built up area 2010(186.74 sq.m.),4,4,2,0.0,West,Relatively New,2010.0,,,0,0,0,0,0,0,157
the rama apartment cghs,flat,sector 43,2.5,10204.0,2450.0,Carpet area: 2450 (227.61 sq.m.),4,4,3+,4.0,East,Moderately Old,,,2450.0,0,1,0,0,0,0,26
sukhshanti apartment,flat,sector 56,1.7,7727.0,2200.0,Built Up area: 2200 (204.39 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),3,3,3,4.0,South,Moderately Old,,2200.0,1610.0,1,0,0,0,0,0,49
shyam sadan,flat,sector 3 phase 2,0.55,6470.0,850.0,Carpet area: 700 (65.03 sq.m.),2,2,1,4.0,West,Relatively New,,,700.0,1,0,0,0,0,1,69
orris aster court premier,flat,sector 85,1.45,6839.0,2120.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3,4,2,3.0,North,New Property,2120.0,1616.0,,0,1,0,0,0,0,16
puri emerald bay,flat,sector 104,2.25,10465.0,2150.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),3,4,3+,4.0,North,Relatively New,2450.0,,2150.0,0,1,0,0,0,1,159
bestech park view grand spa,flat,sector 81,4.7,6786.0,6926.0,Super Built up area 6926(643.45 sq.m.),4,4,3+,19.0,North,Relatively New,6926.0,,,0,1,0,0,0,1,140
vipul lavanya,flat,sector 81,1.0,8000.0,1250.0,Super Built up area 1250(116.13 sq.m.),2,2,2,7.0,,Relatively New,1250.0,,,0,0,0,0,0,0,31
sare crescent parc,flat,sector 92,0.87,4971.0,1750.0,Super Built up area 1750(162.58 sq.m.),4,4,2,2.0,East,Moderately Old,1750.0,,,0,0,1,0,0,2,115
supertech hues,flat,sector 68,1.0,8474.0,1180.0,Carpet area: 1180 (109.63 sq.m.),2,2,2,12.0,,New Property,,,1180.0,0,0,0,0,0,0,54
independent,house,sector 105,0.6,13333.0,450.0,Built Up area: 450 (41.81 sq.m.),3,3,0,3.0,,Undefined,,450.0,,0,0,0,0,0,0,0
independent,house,sector 43,5.75,23662.0,2430.0,Plot area 270(225.75 sq.m.)Built Up area: 260 sq.yards (217.39 sq.m.)Carpet area: 220 sq.yards (183.95 sq.m.),4,4,2,4.0,North,Under Construction,,260.0,220.0,0,1,1,0,0,2,153
bestech park view grand spa,flat,sector 81,2.25,8458.0,2660.0,Super Built up area 2660(247.12 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,4,3+,8.0,West,Relatively New,2660.0,2300.0,2100.0,1,1,1,0,0,1,122
independent,house,sector 7,3.1,13778.0,2250.0,Plot area 250(209.03 sq.m.),3,3,2,2.0,North-West,Old Property,,2250.0,,0,0,0,0,0,0,22
