society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score
m3m sierra 68,flat,sector 68,1.13,9076.0,2,2,3,9.0,Relatively New,1130.0,0,0,0,0,0,1,149
dlf regal gardens,flat,sector 90,1.76,7945.0,4,4,3+,8.0,Relatively New,2020.0,0,0,0,0,0,1,135
dlf city plots,house,sector 26,13.5,29880.0,5,5,2,2.0,Moderately Old,4518.0,1,1,0,0,1,1,104
pyramid urban,flat,sector 67a,0.7,11844.0,2,2,1,14.0,New Property,777.78076324,0,0,0,0,0,0,44
signature global park,flat,sohna road road,0.53,6386.0,2,2,2,2.0,Relatively New,1009.1603031700001,0,0,0,0,0,0,168
capital residences 360,flat,sector 70a,1.1,7586.0,2,2,3+,8.0,New Property,1283.07582737,0,0,0,0,0,0,60
smart world gems,flat,sector 89,1.2,8432.0,3,3,2,2.0,New Property,1611.1477642000002,0,0,0,0,0,0,44
tulip ivory,flat,sector 70,5.0,10416.0,6,7,3+,0.0,Relatively New,4993.696276510001,1,1,0,0,0,0,119
signature global city 81,flat,sector 81,0.96,9767.0,2,2,2,1.0,Under Construction,1262.57598976,0,0,0,0,0,0,49
sahara grace,flat,sector 28,4.3,12420.0,3,4,3,5.0,Old Property,3085.5346639484005,0,1,1,0,0,0,24
sobha smriti apartments,flat,sector 56,0.5,8333.0,1,1,2,3.0,Old Property,786.7955505100001,0,0,0,0,0,0,0
sushant lok 1 builder floors,house,sector 43,6.25,30728.0,7,7,3+,3.0,Moderately Old,2034.0,1,1,1,0,0,0,46
independent,house,sector 1,1.85,16003.0,4,3,2,3.0,Moderately Old,1343.70907519,0,0,0,0,0,0,0
paras dews,flat,sector 106,1.15,6534.0,3,4,3+,12.0,Relatively New,1186.0,1,1,0,0,0,1,174
sector 14 rwa,house,sector 14,6.5,26000.0,5,5,0,4.0,Moderately Old,2500.0,0,0,0,0,0,0,0
ansal sushant lok,house,sector 43,10.5,27911.0,4,4,2,2.0,Old Property,3762.0,0,1,0,0,0,0,59
capital residences 360,flat,sector 70a,1.55,7844.0,3,3,3,8.0,Relatively New,1600.0,1,1,0,0,1,0,42
m3m heights,flat,sector 65,2.0,13957.0,2,2,2,32.0,Relatively New,1433.0,0,0,0,0,0,0,48
raheja revanta,flat,sector 78,1.2,10018.0,1,2,2,32.0,Under Construction,874.3909801910002,0,0,0,0,0,0,39
emaar mgf the palm drive,flat,sector 66,4.6,18400.0,3,3,3,11.0,Relatively New,2815.15766944,1,1,1,0,0,0,131
parsvnath green ville,flat,sector 48,1.42,8606.0,3,3,3,1.0,Moderately Old,1462.24579537,0,0,1,0,0,2,174
assotech blith,flat,sector 99,0.82,6007.0,2,2,3,0.0,New Property,1365.0,0,0,0,0,0,0,51
suncity vatsal valley,flat,gwal pahari,1.53,10699.0,3,3,3,2.0,New Property,1618.1592654100002,0,0,0,0,0,1,117
international city by sobha phase 1,house,sector 109,5.5,21605.0,4,4,3+,2.0,New Property,2430.0,0,1,0,0,0,0,61
breez global heights,flat,sohna road road,0.25,7002.0,1,1,1,1.0,Relatively New,449.185843675,0,0,0,0,0,0,57
paras dews,flat,sector 106,1.0,7220.0,2,2,3+,2.0,New Property,940.0,0,0,0,0,0,1,21
emaar imperial gardens,flat,sector 102,1.91,9550.0,3,4,2,17.0,Relatively New,1595.89544601755,1,1,0,0,0,1,152
emaar gurgaon greens,flat,sector 102,1.42,8606.0,3,3,3,4.0,Relatively New,1335.86735227,0,0,0,0,1,0,49
vatika gurgaon,flat,sector 83,1.25,6313.0,3,3,2,12.0,Moderately Old,1700.0,0,1,0,0,0,0,95
godrej icon,flat,sector 88a,1.62,10018.0,3,2,3+,10.0,Relatively New,1432.6827506500001,1,0,0,0,0,2,49
imperia the esfera,flat,sector 37c,0.7,4879.0,2,3,3+,12.0,Under Construction,1269.63807977,1,0,0,0,1,0,58
4s aradhya homes,house,sector 67a,1.83,6778.0,4,4,2,4.0,New Property,2700.0,0,0,0,0,0,1,145
independent,house,sector 2,19.5,27083.0,8,9,3+,2.0,New Property,7200.0,1,1,0,0,0,0,122
ramprastha the edge towers,flat,sector 37d,1.1,5528.0,3,3,3,9.0,Relatively New,1990.0,0,0,0,0,0,0,63
independent,house,sector 17,9.5,23457.0,8,8,3,3.0,Relatively New,4050.0,1,0,0,0,0,1,27
independent,house,sector 45,16.0,35003.0,6,7,3+,3.0,Relatively New,4500.0,1,1,1,0,0,1,105
ss,flat,sector 85,2.17,7716.0,4,4,3,7.0,Relatively New,2600.0,1,1,0,0,0,0,49
paras dews,flat,sector 106,1.15,6052.0,3,4,3,5.0,Relatively New,1305.0,1,1,0,0,0,0,49
