society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,puja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
independent,house,sector 40,5.0,21124.0,9,9,3+,3.0,Relatively New,2367.0,0,0,0,0,0,1,66,"28.4498° N, 77.0567° E",28.4498,77.0567
emaar gurgaon greens,flat,sector 102,1.3,7878.0,3,3,3,7.0,Relatively New,1402.476613765,0,1,0,0,0,0,93,"28.4750° N, 76.9715° E",28.475,76.9715
sare crescent parc,flat,sector 92,0.9,4260.0,4,5,3+,3.0,Relatively New,1771.31399017,0,1,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
conscient habitat,flat,sector 99a,0.35,6422.0,2,2,1,3.0,Relatively New,731.70518386,0,0,0,0,0,0,62,"28.4561° N, 76.9542° E",28.4561,76.9542
unitech harmony,flat,sector 50,2.6,9590.0,3,4,2,15.0,Relatively New,2700.0,0,1,0,0,1,1,174,"28.4178° N, 77.0628° E",28.4178,77.0628
shapoorji pallonji joyville gurugram,flat,sector 102,0.95,10383.0,2,2,2,14.0,Relatively New,915.0,0,0,0,0,0,0,0,"28.4750° N, 76.9715° E",28.475,76.9715
pyramid urban homes 2,flat,sector 86,0.5,8319.0,2,2,1,2.0,Relatively New,787.7971935400001,0,0,0,0,0,0,35,"28.3986° N, 76.9384° E",28.3986,76.9384
godrej oasis,flat,sector 88a,1.38,6679.0,3,3,3+,7.0,Relatively New,2255.2042324900003,0,1,0,0,0,0,72,"28.4347° N, 76.9557° E",28.4347,76.9557
pyramid urban homes 2,flat,sector 86,0.41,6905.0,2,2,1,3.0,Relatively New,787.7971935400001,0,0,0,0,0,0,63,"28.3986° N, 76.9384° E",28.3986,76.9384
smart world gems,flat,sector 89,1.13,8500.0,3,3,2,4.0,Under Construction,1513.98839029,1,0,0,0,0,0,115,"28.4253° N, 76.9439° E",28.4253,76.9439
la vida by tata housing,flat,sector 113,3.35,12444.0,4,4,3+,11.0,Relatively New,2882.23276927,1,1,0,0,0,0,174,"28.5287° N, 77.0233° E",28.5287,77.0233
ss the leaf,flat,sector 85,1.75,7267.0,3,4,3,8.0,Relatively New,2141.29997409,0,1,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
dlf the arbour,flat,sector 63,7.9,20000.0,4,4,3+,34.0,Under Construction,3950.0,0,0,0,0,0,0,61,"28.3971° N, 77.0867° E",28.3971,77.0867
independent,house,sector 92,1.8,7627.0,4,5,0,13.0,Relatively New,2360.0,0,0,0,0,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
emaar mgf emerald floors,flat,sector 65,3.2,10159.0,4,3,2,1.0,Relatively New,3150.0,0,1,0,0,0,0,0,"28.4030° N, 77.0690° E",28.403,77.069
bestech park view sanskruti,flat,sector 92,1.55,7568.0,3,4,3,16.0,Relatively New,1771.31399017,0,1,0,0,0,1,60,"28.4079° N, 76.9153° E",28.4079,76.9153
dlf the skycourt,flat,sector 86,1.58,8190.0,3,3,1,16.0,Relatively New,1750.0,0,0,0,0,0,1,152,"28.3986° N, 76.9384° E",28.3986,76.9384
smart world orchard,flat,sector 61,2.45,15800.0,3,3,3,3.0,New Property,1249.24405356555,1,1,0,0,0,0,119,"28.4050° N, 77.0963° E",28.405,77.0963
signature global synera,flat,sector 81,0.49,6666.0,2,2,3,5.0,Relatively New,700.0,0,0,0,0,0,0,117,"28.3867° N, 76.9485° E",28.3867,76.9485
bptp terra,flat,sector 37d,1.45,8006.0,3,3,3,9.0,Relatively New,1606.47761961,0,0,0,0,0,0,107,"28.4478° N, 76.9703° E",28.4478,76.9703
bestech park view sanskruti,flat,sector 92,2.0,8333.0,4,5,3+,12.0,Relatively New,2395.53745894,0,1,0,0,0,1,60,"28.4079° N, 76.9153° E",28.4079,76.9153
emaar palm gardens,flat,sector 83,1.8,9473.0,3,4,3,4.0,Relatively New,1559.19622969995,1,1,1,0,0,1,174,"28.3986° N, 76.9647° E",28.3986,76.9647
vatika signature villas,house,sector 82,5.0,15432.0,4,4,3+,3.0,Relatively New,3240.0,0,1,1,0,0,0,24,"28.3935° N, 76.9600° E",28.3935,76.96
maa bhagwati residency,flat,sector 7,0.45,5000.0,2,2,1,4.0,Relatively New,1087.28845951,0,0,0,0,0,0,28,"28.4644° N, 77.0143° E",28.4644,77.0143
eros rosewood city,house,sector 49,3.75,22046.0,3,3,1,2.0,Old Property,1701.0,0,0,0,0,0,1,6,"28.4121° N, 77.0480° E",28.4121,77.048
bestech park view residency,flat,sector 2,0.56,8632.0,1,1,2,6.0,Moderately Old,837.8793450400001,0,0,0,0,0,0,77,"28.5095° N, 77.0320° E",28.5095,77.032
international city by sobha phase 1,house,sector 109,6.3,9000.0,4,5,3+,2.0,Relatively New,7000.0,0,0,0,0,0,1,122,"28.5073° N, 77.0089° E",28.5073,77.0089
independent,house,sector 50,13.2,27155.0,6,6,0,2.0,Moderately Old,4861.0,0,0,0,0,0,0,0,"28.4178° N, 77.0628° E",28.4178,77.0628
shree vardhman victoria,flat,sector 70,1.8,9230.0,3,3,3+,10.0,New Property,1731.00074737,0,0,0,0,1,1,49,"28.3968° N, 77.0233° E",28.3968,77.0233
godrej oasis,flat,sector 88a,1.5,8108.0,3,3,2,3.0,Relatively New,2038.84933801,0,0,0,0,0,0,47,"28.4347° N, 76.9557° E",28.4347,76.9557
pioneer araya,flat,sector 62,8.35,19513.0,4,6,3,16.0,Relatively New,3817.43502473,0,1,0,0,0,0,153,"28.4139° N, 77.0886° E",28.4139,77.0886
experion windchants,flat,sector 112,5.6,11529.0,4,6,3+,15.0,Moderately Old,3662.34,0,1,0,0,0,1,157,"28.5189° N, 77.0183° E",28.5189,77.0183
krrish provence estate,flat,gwal pahari,5.25,9051.0,4,5,3+,2.0,New Property,5180.0226313699995,1,1,0,0,0,0,49,"28.4484° N, 77.0210° E",28.4484,77.021
godrej oasis,flat,sector 88a,1.15,7116.0,2,2,3,14.0,Relatively New,1393.75784618,1,0,0,0,0,0,174,"28.4347° N, 76.9557° E",28.4347,76.9557
experion windchants,flat,sector 112,4.75,12622.0,3,5,3+,4.0,Relatively New,3355.17650729,0,1,0,0,0,1,42,"28.5189° N, 77.0183° E",28.5189,77.0183
ambience creacions,flat,sector 22,2.0,14492.0,2,2,2,9.0,Relatively New,1568.0771139100002,0,0,0,0,0,0,49,"28.5072° N, 77.0640° E",28.5072,77.064
mittal surya vihar,flat,sector 21,1.4,5833.0,5,4,2,2.0,Moderately Old,2134.13317537,0,0,0,0,0,0,0,"28.5134° N, 77.0723° E",28.5134,77.0723
vipul tatvam villa,house,sector 48,7.35,22812.0,4,5,2,2.0,Moderately Old,3222.0,1,1,1,0,0,1,144,"28.4177° N, 77.0359° E",28.4177,77.0359
sare homes,flat,sector 92,0.95,4750.0,4,3,2,17.0,New Property,1983.0,0,0,0,0,0,0,7,"28.4079° N, 76.9153° E",28.4079,76.9153
m3m skywalk,flat,sector 74,1.54,11000.0,2,2,3+,22.0,Relatively New,1200.0,0,0,0,0,1,0,137,"28.4158° N, 77.0118° E",28.4158,77.0118
suncity platinum towers,flat,sector 28,6.2,23091.0,3,4,3+,21.0,Relatively New,2000.0,0,1,0,0,0,1,160,"28.4728° N, 77.0865° E",28.4728,77.0865
godrej summit,flat,sector 104,1.1,8669.0,2,2,3,16.0,Under Construction,1120.92700633,0,0,0,0,1,0,88,"28.4788° N, 76.9960° E",28.4788,76.996
signature global orchard avenue,flat,sector 93,0.4,7359.0,2,2,2,11.0,New Property,730.2797957461586,0,0,0,0,0,0,37,"28.4153° N, 76.9326° E",28.4153,76.9326
shyam apartment,flat,sector 3,0.26,3714.0,2,1,2,2.0,Relatively New,663.93449289,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
vatika sovereign park,flat,sector 99,2.45,8812.0,3,4,3,1.0,New Property,2474.5561145700003,0,1,0,0,0,1,165,"28.4640° N, 76.9614° E",28.464,76.9614
shree vardhman flora,flat,sector 90,0.75,5769.0,2,2,3,8.0,Relatively New,1487.9456715100002,0,0,0,0,0,0,60,"28.4085° N, 76.9369° E",28.4085,76.9369
tulip yellow,flat,sector 69,1.8,10563.0,3,3,3,14.0,Under Construction,1892.60945563,0,0,0,0,0,0,49,"28.3966° N, 77.0341° E",28.3966,77.0341
godrej summit,flat,sector 104,1.35,5014.0,4,5,3+,0.0,Relatively New,2882.23276927,1,1,1,0,0,0,88,"28.4788° N, 76.9960° E",28.4788,76.996
ramsons kshitij,flat,sector 95,0.17,544.0,1,1,1,12.0,Relatively New,3403.08714487,0,0,0,0,0,0,56,"28.4172° N, 76.9081° E",28.4172,76.9081
cancon enclave,flat,sector 4,1.05,7777.0,3,2,2,2.0,New Property,1538.0278230100002,0,0,0,0,0,1,0,"28.4738° N, 77.0107° E",28.4738,77.0107
bestech park view residency,flat,sector 2,1.26,8051.0,2,2,3,7.0,Moderately Old,1386.09855897,1,0,0,0,0,0,84,"28.5095° N, 77.0320° E",28.5095,77.032
ats tourmaline,flat,sector 109,1.4,8000.0,3,3,3+,9.0,Relatively New,1551.83077937,0,0,0,0,0,0,95,"28.5073° N, 77.0089° E",28.5073,77.0089
signature global city,flat,sector 37d,0.68,11724.0,2,2,3,9.0,New Property,766.7626899100001,0,0,0,0,1,0,58,"28.4478° N, 76.9703° E",28.4478,76.9703
dlf the primus,flat,sector 82a,1.85,10283.0,3,3,3+,2.0,Relatively New,1661.03206709,0,0,0,0,0,1,44,"28.3858° N, 76.9686° E",28.3858,76.9686
rof ananda,flat,sector 95,0.2,5463.0,1,1,1,9.0,Relatively New,552.4914523250841,0,0,0,0,0,0,52,"28.4172° N, 76.9081° E",28.4172,76.9081
sare green parc phase 3,flat,sector 92,1.1,6875.0,4,3,2,12.0,New Property,1788.43858051,0,0,0,0,0,0,15,"28.4079° N, 76.9153° E",28.4079,76.9153
tulip monsella,flat,sector 53,5.6,19363.0,3,3,3+,1.0,Under Construction,2574.89129665,0,0,0,0,0,0,42,"28.4433° N, 77.0948° E",28.4433,77.0948
ss the leaf,flat,sector 85,1.15,11966.0,2,2,3,20.0,Relatively New,1263.0,0,0,0,0,0,0,107,"28.4042° N, 76.9513° E",28.4042,76.9513
unitech the residences,flat,sector 33,1.35,8737.0,3,4,2,8.0,Moderately Old,1368.18156217,0,1,0,0,0,0,49,"28.4420° N, 77.0207° E",28.442,77.0207
zara aavaas,flat,sector 104,0.2,6645.0,1,1,1,3.0,Relatively New,301.0,0,0,0,0,0,0,67,"28.4788° N, 76.9960° E",28.4788,76.996
ansal api esencia,flat,sector 67,1.0,6435.0,3,3,3+,2.0,Moderately Old,1376.24421073,0,0,0,0,0,0,9,"28.3859° N, 77.0608° E",28.3859,77.0608
independent,house,sector 3,0.37,7916.0,1,1,1,1.0,Relatively New,480.0,0,0,0,0,0,0,0,"28.4909° N, 77.0176° E",28.4909,77.0176
ats tourmaline,flat,sector 109,1.5,6976.0,3,4,3+,4.0,Relatively New,1797.0,0,1,0,0,0,0,39,"28.5073° N, 77.0089° E",28.5073,77.0089
tulip violet,flat,sector 69,1.76,8756.0,4,4,2,6.0,Relatively New,1784.75173777,0,0,0,0,0,0,108,"28.3966° N, 77.0341° E",28.3966,77.0341
emaar gurgaon greens,flat,sector 102,1.45,14179.0,3,3,3,10.0,Relatively New,1336.1578287487,0,1,0,0,0,0,165,"28.4750° N, 76.9715° E",28.475,76.9715
emaar mgf the palm drive,flat,sector 66,2.8,14358.0,3,3,2,12.0,New Property,1950.0,1,1,0,0,0,2,69,"28.3925° N, 77.0541° E",28.3925,77.0541
chd avenue,flat,sector 71,1.0,6734.0,3,3,3+,3.0,Relatively New,1314.43057177,0,0,0,0,0,1,7,"28.4104° N, 77.0281° E",28.4104,77.0281
independent,house,sector 7,0.89,18658.0,5,3,2,2.0,Old Property,477.0,0,0,0,0,0,0,8,"28.4644° N, 77.0143° E",28.4644,77.0143
sidhivinayak apartments,flat,sector 55,1.9,10555.0,4,3,3+,9.0,Moderately Old,1988.76718651,0,0,0,0,0,2,35,"28.4281° N, 77.1100° E",28.4281,77.11
bestech park view city,flat,sector 48,2.65,10323.0,4,4,3+,11.0,Moderately Old,2111.21256683,1,1,0,0,0,1,174,"28.4177° N, 77.0359° E",28.4177,77.0359
mariners home,flat,sector 56,2.11,8612.0,3,2,3,4.0,Relatively New,2250.0,0,0,0,0,1,1,126,"28.4245° N, 77.0991° E",28.4245,77.0991
emaar digihomes,flat,sector 62,3.95,15262.0,3,3,3,33.0,New Property,2778.0618941500006,0,1,0,0,0,1,49,"28.4139° N, 77.0886° E",28.4139,77.0886
kamroon court,flat,sector 43,2.75,13750.0,3,4,3+,5.0,Moderately Old,2189.09579251,0,1,0,0,1,1,49,"28.4629° N, 77.0772° E",28.4629,77.0772
sidhartha ncr one,flat,sector 95,0.55,5556.0,2,2,3,15.0,New Property,990.0,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
independent,house,sector 14,5.5,16975.0,5,4,2,2.0,Old Property,3240.0,1,0,0,0,0,0,27,"28.4711° N, 77.0454° E",28.4711,77.0454
today callidora,flat,sector 73,0.9,5548.0,3,3,3,3.0,Under Construction,1622.0,0,1,0,0,0,0,63,"28.4072° N, 77.0118° E",28.4072,77.0118
emaar mgf palm terraces select,flat,sector 66,3.4,14107.0,4,4,3+,2.0,Relatively New,2210.0,0,1,0,0,0,1,157,"28.3925° N, 77.0541° E",28.3925,77.0541
pivotal devaan,flat,sector 84,0.41,7032.0,2,2,2,10.0,New Property,565.0,0,0,0,0,0,1,23,"28.3979° N, 76.9736° E",28.3979,76.9736
vipul tatvam villa,house,sector 48,5.5,21219.0,3,6,2,2.0,Moderately Old,2592.0,0,1,0,0,1,1,106,"28.4177° N, 77.0359° E",28.4177,77.0359
sare petioles,flat,sector 92,1.22,5250.0,4,3,3,9.0,Under Construction,2093.0,0,1,0,0,0,0,99,"28.4079° N, 76.9153° E",28.4079,76.9153
afnhb jalvayu vihar,flat,sector 30,1.45,11153.0,3,2,2,2.0,Old Property,1300.0,0,0,0,0,0,2,75,"28.4604° N, 77.0579° E",28.4604,77.0579
ats triumph,flat,sector 104,2.0,8733.0,3,4,3+,4.0,Relatively New,2035.58969297,0,1,0,0,0,0,60,"28.4788° N, 76.9960° E",28.4788,76.996
shapoorji pallonji joyville gurugram,flat,sector 102,0.95,10383.0,2,2,2,14.0,Relatively New,915.0,0,0,0,0,0,0,0,"28.4750° N, 76.9715° E",28.475,76.9715
tulip violet,flat,sector 69,1.4,8856.0,3,3,2,9.0,Relatively New,1397.74460689,0,0,0,0,0,0,120,"28.3966° N, 77.0341° E",28.3966,77.0341
antriksh heights,flat,sector 84,0.88,4821.0,3,3,3,16.0,Relatively New,1619.01951737,0,0,0,0,0,0,67,"28.3979° N, 76.9736° E",28.3979,76.9736
bestech park view spa next,flat,sector 67,2.72,11574.0,4,4,3+,0.0,Relatively New,2250.0,0,1,0,0,0,1,128,"28.3859° N, 77.0608° E",28.3859,77.0608
bptp terra,flat,sector 37d,1.65,8790.0,3,3,2,15.0,Relatively New,1665.60370905,0,0,0,0,0,0,116,"28.4478° N, 76.9703° E",28.4478,76.9703
m3m sky lofts,flat,sector 71,0.9,13177.0,1,1,0,6.0,New Property,683.0,0,0,0,0,0,0,77,"28.4104° N, 77.0281° E",28.4104,77.0281
